Identifier,Description,Source,Publisher,Year,Topic
WB_ag_agr_trac_no,"Agricultural machinery, tractors",World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_con_fert_pt_zs,Fertilizer consumption (% of fertilizer production),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_con_fert_zs,Fertilizer consumption (kilograms per hectare of arable land),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_agri_k2,Agricultural land (sq. km),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_agri_zs,Agricultural land (% of land area),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_arbl_ha,Arable land (hectares),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_arbl_ha_pc,Arable land (hectares per person),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_arbl_zs,Arable land (% of land area),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_crel_ha,Land under cereal production (hectares),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_crop_zs,Permanent cropland (% of land area),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_el5m_ru_k2,Rural land area where elevation is below 5 meters (sq. km),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_el5m_ru_zs,Rural land area where elevation is below 5 meters (% of total land area),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_frst_k2,Forest area (sq. km),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_frst_zs,Forest area (% of land area),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_irig_ag_zs,Agricultural irrigated land (% of total agricultural land),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_prcp_mm,Average precipitation in depth (mm per year),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_totl_k2,Land area (sq. km),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_totl_ru_k2,Rural land area (sq. km),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_lnd_trac_zs,"Agricultural machinery, tractors per 100 sq. km of arable land",World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_prd_crel_mt,Cereal production (metric tons),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_prd_crop_xd,Crop production index (2004-2006 = 100),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_prd_food_xd,Food production index (2004-2006 = 100),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_prd_lvsk_xd,Livestock production index (2004-2006 = 100),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_srf_totl_k2,Surface area (sq. km),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_ag_yld_crel_kg,Cereal yield (kg per hectare),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_eg_elc_accs_ru_zs,"Access to electricity, rural (% of rural population)",World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_en_atm_meth_ag_kt_ce,Agricultural methane emissions (thousand metric tons of CO2 equivalent),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_en_atm_meth_ag_zs,Agricultural methane emissions (% of total),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_en_atm_noxe_ag_kt_ce,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent,World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_en_atm_noxe_ag_zs,Agricultural nitrous oxide emissions (% of total),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security 
WB_en_pop_el5m_ru_zs,Rural population living in areas where elevation is below 5 meters (% of total,World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_er_h2o_fwag_zs,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_nv_agr_totl_cd,"Agriculture, forestry, and fishing, value added (current US$)",World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_nv_agr_totl_zs,"Agriculture, forestry, and fishing, value added (% of GDP)",World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_si_pov_rugp,Rural poverty gap at national poverty lines (%),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_si_pov_ruhc,Rural poverty headcount ratio at national poverty lines (% of rural population),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_sl_agr_empl_fe_zs,"Employment in agriculture, female (% of female employment) (modeled ILO estimat",World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_sl_agr_empl_ma_zs,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_sl_agr_empl_zs,Employment in agriculture (% of total employment) (modeled ILO estimate),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_sp_rur_totl,Rural population,World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_sp_rur_totl_zg,Rural population growth (annual %),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
WB_sp_rur_totl_zs,Rural population (% of total population),World Development Indicators,The World Bank Group,2018,Agriculture and Food Security
